链接,标题,评论数,价格,销量,图片链接,品牌,适用年龄,尺码,面料,图案,风格,通勤,领子,衣门襟,颜色分类,袖型,组合形式,货号,成分含量,上市年份/季节,袖长,款式,厚薄,衣长,服装版型
https://item.taobao.com/item.htm?id=601749550710,小虫up联名长袖打底衫女薄款内搭T恤2019秋冬季新款洋气绿色上衣,126,338.00 ,2282,"https://img.alicdn.com/imgextra/i2/12375520/O1CN01qDjnwV1qeCq4reTq3_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN014baJDV1qeCqEvmUCS_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01bziuBT1qeCq75oyvu_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01J1s7621qeCqChQq7U_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01BqhozQ1qeCq1ZR0sE_!!12375520.jpg",小虫,30-34周岁,S M L XL,其他,,通勤,复古,,,,插肩袖,,TE9QSY005,86%(含)-95%(含),2019年秋季,长袖,,,常规款,修身
https://item.taobao.com/item.htm?id=602550444179,RED虫 冬季穿搭单品宝典超髙性价比白鸭绒巨显瘦Y短款时髦羽绒服,2,429.00 ,1379,"https://img.alicdn.com/bao/uploaded/i1/12375520/O1CN01C0h3yd1qeCqMSUDhj_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01iYP7CF1qeCqILwFBH_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN018vJ86g1qeCqGoD9RX_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01pwnj9X1qeCqFqkCGp_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN015QLuXf1qeCqNolfFm_!!12375520.jpg",小虫,30-34周岁,S M L,,纯色,通勤,简约,立领,单排扣,米白 预售10月20日 黑色 预售10月20日 裸粉 预售10月20日 浅蓝 预售10月20日 橡皮红 预售10月20日 牛油果绿  预售10月20日 黑色 预售10月30日,其他,,TE9QYR003,,2019年秋季,长袖,,常规,常规,直筒
https://item.taobao.com/item.htm?id=521239584034,小虫纯丝光棉短袖白色t恤女2019新款夏装圆V领上衣打底衫,12461,148.00 ,1220,"//gd2.alicdn.com/imgextra/i3/0/TB1S3DVJVXXXXaYXXXXXXXXXXXX_!!0-item_pic.jpg
//gd3.alicdn.com/imgextra/i3/12375520/TB2z86MsFXXXXXAXpXXXXXXXXXX_!!12375520.jpg
//gd1.alicdn.com/imgextra/i1/12375520/TB2nNGWqXXXXXcEXpXXXXXXXXXX_!!12375520.jpg
//gd1.alicdn.com/imgextra/i1/12375520/O1CN01CLlEMS1qeCpKHn1IT_!!12375520.jpg
//gd3.alicdn.com/imgextra/i3/12375520/TB2yXOsf9tYBeNjSspaXXaOOFXa_!!12375520.jpg
//gd1.alicdn.com/imgextra/i1/12375520/O1CN01epSgOP1qeCqT5y7zn_!!0-item_pic.jpg",小虫,30-34周岁,XS S M L XL,棉,,通勤,简约,,,,常规,,TE5XTX024,71%(含)-85%(含),2019年夏季,短袖,,,常规款,修身
https://item.taobao.com/item.htm?id=602337030385,小虫鎮店之寶全成型无缝针织金银丝船领羊毛针织套头衫五分袖女秋,63,388.00 ,741,"https://img.alicdn.com/imgextra/i4/12375520/O1CN01L4iHfj1qeCqE20jIX_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01KIMkYT1qeCqDc0xZH_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01EnKyjs1qeCqEobphA_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01DK5Wv51qeCqEodyhB_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01hIoepL1qeCq9NwlnQ_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊毛,纯色,通勤,简约,低圆领,套头,白色 现货 咖啡色 现货 浅蓝 现货 黑色 现货 大红 现货 白色 预售10月6日 黄色 预售10月6日 咖啡色 预售10月6日 浅蓝 预售10月6日 黑色 预售10月6日 大红 预售10月20日,其他,,TD9QMZ007,81%(含)-90%(含),2019年秋季,五分袖,套头,常规,常规款,修身
https://item.taobao.com/item.htm?id=602410703647,小虫 镇店NO.1蕞佳配角时髦减龄小心机针织羊毛吊带背心,102,298.00 ,672,"https://img.alicdn.com/bao/uploaded/i4/12375520/O1CN01ltM0s61qeCq9f2Utv_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN010VU9OK1qeCqG8KFQt_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01QJBHbM1qeCqFgQvnR_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01ZD6jme1qeCq8QHXAA_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN016IpuGw1qeCqA7s5up_!!12375520.jpg",小虫,30-34周岁,S M L XL,,纯色,百搭,,,,驼色 现货 牛油果绿现货 烟灰色 现货 白玉米 现货,,单件,TR9QDD001,81%(含)-90%(含),2019年秋季,,吊带,,常规,修身
https://item.taobao.com/item.htm?id=601760252358,小虫超幼细马海毛棉花糖质感蓬松少女感甜美套头衫毛衣早秋新款薄,119,368.00 ,664,"https://img.alicdn.com/bao/uploaded/i1/12375520/O1CN01Dgbryz1qeCq7x0ti5_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01CpvcL61qeCpy2X0yM_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01IyAgmE1qeCq42kxWs_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01RpF9AR1qeCqBaoEpd_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN014b1BuN1qeCq11xpS8_!!12375520.jpg",小虫,30-34周岁,S M L,其他,纯色,甜美,,其他,套头,黄色 预售10月10日 玫红色 预售10月10日 桔红 预售10月10日 黄色 预售10月20日 玫红色 预售10月20日 桔红 预售10月20日,灯笼袖,,TE9QMZ212,95%以上,2019年秋季,长袖,套头,薄款,常规款,宽松
https://item.taobao.com/item.htm?id=601750402691,小虫 显瘦不挑人獨特设计立显蚂蚁腰锥形意大利进口面料牛仔裤,116,468.00 ,659,"https://img.alicdn.com/bao/uploaded/i1/12375520/O1CN01Z9T0011qeCqD0Bmia_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01CgzoQZ1qeCq8e9L5i_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01qrnnie1qeCq4cFYsl_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN017RlGme1qeCpz4u36z_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN0102NdCF1qeCqDwJvwO_!!12375520.jpg",小虫,30-34周岁,,,,,,,,牛仔蓝 预售10月20日,,,TE9QNZ071,96%及以上,2019年秋季,,,常规,,
https://item.taobao.com/item.htm?id=601772096768,小虫 超高性价比秋冬水溶性羊毛定纺四色入戒指绒高领打底衫,125,468.00 ,618,"https://img.alicdn.com/bao/uploaded/i3/12375520/O1CN01ZAorKy1qeCqCKPTjn_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01KS4wLs1qeCqB4Cgtq_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01TDZWZm1qeCq7ANrpa_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01rnWlnb1qeCpeN1wFE_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01CQPDB91qeCpewdrbr_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊毛,纯色,通勤,简约,高领,套头,经典黑 现货 大红色 现货 蔷薇粉  预售10月15日 经典黑 预售10月15日 浅花灰 预售10月15日,常规,单件,TE9QMZ118,95%以上,2019年秋季,长袖,套头,常规,常规款,修身
https://item.taobao.com/item.htm?id=600553102951,小虫羊毛针织打底衫秋冬季新款上衣女长袖高领套头薄毛衣百搭2019,376,448.00 ,605,"https://img.alicdn.com/imgextra/i3/12375520/O1CN01qbAPZj1qeCq1dt2zA_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01NoRm4M1qeCq0Q8aID_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01pHsLW71qeCpy0GxEg_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01CiT9j21qeCpqPKJwH_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN012RczV81qeCpmFb1tT_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊毛,纯色,通勤,简约,高领,套头,黄色 预售10月18日 大红色 预售10月18日 灰色 预售10月25日 樱花粉 预售10月25日 青草绿 预售10月25日 黑色 预售10月25日 樱花粉 预售11月10日 青草绿 预售11月10日 黑色 预售11月10日 黄色 预售11月10日 灰色 预售11月10日 大红色 预售11月10日,常规,单件,TE9QMZ253,95%以上,2019年秋季,长袖,套头,常规,常规款,修身
https://item.taobao.com/item.htm?id=600397818621,小虫宽松萝卜裤九分黑色牛仔裤女士浅色裤子显瘦百搭2019新款秋季,818,448.00 ,541,"https://img.alicdn.com/imgextra/i2/12375520/O1CN01iKCCgZ1qeCq1oR8o8_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01Ufbb5P1qeCprHN2Bj_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01z0e94A1qeCpyJA892_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01jeFIDu1qeCpsgLoYl_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01yCzg1S1qeCpomv66y_!!12375520.jpg",小虫,30-34周岁,,,,,,,,牛仔蓝 现货 黑色 预售10月20日 黑色 预售11月5日,,,TE9XNZ025,91%(含)-95%(含),2019年夏季,,,常规,,
